,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
368,2641.0,2095.0,477.0,1.0,0.8470173478126526,0.9996215105056763,0.9170138835906982,0.18545879423618317,0.7367367367367368
369,2641.0,2092.0,480.0,1.0,0.8462031483650208,0.9996215105056763,0.9165365099906921,0.18662519752979279,0.7387387387387387
370,2641.0,2090.0,482.0,1.0,0.8456612229347229,0.9996215105056763,0.9162185788154602,0.18740279972553253,0.7407407407407407
371,2641.0,2087.0,485.0,1.0,0.8448496460914612,0.9996215105056763,0.915742039680481,0.18856920301914215,0.7427427427427428
372,2641.0,2085.0,487.0,1.0,0.8443094491958618,0.9996215105056763,0.9154245853424072,0.1893468052148819,0.7447447447447447
373,2641.0,2083.0,489.0,1.0,0.8437699675559998,0.9996215105056763,0.9151074290275574,0.19012442231178284,0.7467467467467468
374,2641.0,2079.0,493.0,1.0,0.842693030834198,0.9996215105056763,0.9144737124443054,0.19167962670326233,0.7487487487487487
375,2641.0,2076.0,496.0,1.0,0.8418871760368347,0.9996215105056763,0.9139989614486694,0.19284602999687195,0.7507507507507507
376,2641.0,2075.0,497.0,1.0,0.8416188359260559,0.9996215105056763,0.9138408303260803,0.19323483109474182,0.7527527527527528
377,2641.0,2072.0,500.0,1.0,0.840815007686615,0.9996215105056763,0.9133667349815369,0.19440124928951263,0.7547547547547547
378,2642.0,2068.0,504.0,0.0,0.8397965431213379,1.0,0.912923276424408,0.19595645368099213,0.7567567567567568
379,2642.0,2064.0,508.0,0.0,0.8387301564216614,1.0,0.9122928380966187,0.19751165807247162,0.7587587587587588
380,2642.0,2057.0,515.0,0.0,0.8368704319000244,1.0,0.9111915826797485,0.20023328065872192,0.7607607607607607
381,2642.0,2053.0,519.0,0.0,0.8358114361763,1.0,0.9105635285377502,0.20178848505020142,0.7627627627627628
382,2642.0,2051.0,521.0,0.0,0.8352829813957214,1.0,0.9102497696876526,0.20256610214710236,0.7647647647647647
383,2642.0,2048.0,524.0,0.0,0.834491491317749,1.0,0.9097796082496643,0.20373250544071198,0.7667667667667668
